,type,number_turns,num_teeth1,tooth_depth1,hole_radius,num_teeth2,tooth_depth2,indent_radius,elev
0,3.0,-1.0,10.0,1.0,1.0,10.0,1.0,-1.0,40.0
1,3.0,-1.0,10.0,1.0,1.0,10.0,1.0,-1.0,50.0
2,3.0,-1.0,10.0,1.0,1.0,10.0,1.0,-1.0,60.0
3,3.0,-1.0,10.0,1.0,1.5,10.0,1.0,-1.0,40.0
4,3.0,-1.0,10.0,1.0,1.5,10.0,1.0,-1.0,50.0
5,3.0,-1.0,10.0,1.0,1.5,10.0,1.0,-1.0,60.0
6,3.0,-1.0,10.0,1.5,1.0,10.0,1.0,-1.0,40.0
7,3.0,-1.0,10.0,1.5,1.0,10.0,1.0,-1.0,50.0
8,3.0,-1.0,10.0,1.5,1.0,10.0,1.0,-1.0,60.0
9,3.0,-1.0,10.0,1.5,1.5,10.0,1.0,-1.0,40.0
10,3.0,-1.0,10.0,1.5,1.5,10.0,1.0,-1.0,50.0
11,3.0,-1.0,10.0,1.5,1.5,10.0,1.0,-1.0,60.0
12,3.0,-1.0,10.0,2.0,1.0,10.0,1.0,-1.0,40.0
13,3.0,-1.0,10.0,2.0,1.0,10.0,1.0,-1.0,50.0
14,3.0,-1.0,10.0,2.0,1.0,10.0,1.0,-1.0,60.0
15,3.0,-1.0,10.0,2.0,1.5,10.0,1.0,-1.0,40.0
16,3.0,-1.0,10.0,2.0,1.5,10.0,1.0,-1.0,50.0
17,3.0,-1.0,10.0,2.0,1.5,10.0,1.0,-1.0,60.0
18,3.0,-1.0,10.0,1.0,1.0,15.0,1.0,-1.0,40.0
19,3.0,-1.0,10.0,1.0,1.0,15.0,1.0,-1.0,50.0
20,3.0,-1.0,10.0,1.0,1.0,15.0,1.0,-1.0,60.0
21,3.0,-1.0,10.0,1.0,1.5,15.0,1.0,-1.0,40.0
22,3.0,-1.0,10.0,1.0,1.5,15.0,1.0,-1.0,50.0
23,3.0,-1.0,10.0,1.0,1.5,15.0,1.0,-1.0,60.0
24,3.0,-1.0,10.0,1.5,1.0,15.0,1.0,-1.0,40.0
25,3.0,-1.0,10.0,1.5,1.0,15.0,1.0,-1.0,50.0
26,3.0,-1.0,10.0,1.5,1.0,15.0,1.0,-1.0,60.0
27,3.0,-1.0,10.0,1.5,1.5,15.0,1.0,-1.0,40.0
28,3.0,-1.0,10.0,1.5,1.5,15.0,1.0,-1.0,50.0
29,3.0,-1.0,10.0,1.5,1.5,15.0,1.0,-1.0,60.0
30,3.0,-1.0,10.0,2.0,1.0,15.0,1.0,-1.0,40.0
31,3.0,-1.0,10.0,2.0,1.0,15.0,1.0,-1.0,50.0
32,3.0,-1.0,10.0,2.0,1.0,15.0,1.0,-1.0,60.0
33,3.0,-1.0,10.0,2.0,1.5,15.0,1.0,-1.0,40.0
34,3.0,-1.0,10.0,2.0,1.5,15.0,1.0,-1.0,50.0
35,3.0,-1.0,10.0,2.0,1.5,15.0,1.0,-1.0,60.0
36,3.0,-1.0,10.0,1.0,1.0,20.0,1.0,-1.0,40.0
37,3.0,-1.0,10.0,1.0,1.0,20.0,1.0,-1.0,50.0
38,3.0,-1.0,10.0,1.0,1.0,20.0,1.0,-1.0,60.0
39,3.0,-1.0,10.0,1.0,1.5,20.0,1.0,-1.0,40.0
40,3.0,-1.0,10.0,1.0,1.5,20.0,1.0,-1.0,50.0
41,3.0,-1.0,10.0,1.0,1.5,20.0,1.0,-1.0,60.0
42,3.0,-1.0,10.0,1.5,1.0,20.0,1.0,-1.0,40.0
43,3.0,-1.0,10.0,1.5,1.0,20.0,1.0,-1.0,50.0
44,3.0,-1.0,10.0,1.5,1.0,20.0,1.0,-1.0,60.0
45,3.0,-1.0,10.0,1.5,1.5,20.0,1.0,-1.0,40.0
46,3.0,-1.0,10.0,1.5,1.5,20.0,1.0,-1.0,50.0
